xF,pT,xsect,error
0.200,0.500,4.03982,0.02747
0.200,0.600,2.56058,0.01972
0.200,0.700,1.45183,0.01481
0.200,0.800,0.80606,0.01040
0.200,0.900,0.47123,0.00768
0.200,1.000,0.25249,0.00540
0.200,1.100,0.15522,0.00422
0.200,1.200,0.08757,0.00306
0.200,1.300,0.05304,0.00237
0.200,1.400,0.02953,0.00220
0.200,1.500,0.02041,0.00159
0.200,1.700,0.00720,0.00070
0.200,1.900,0.00323,0.00044
0.200,2.100,0.00151,0.00034

0.250,0.050,15.80419,0.24813
0.250,0.100,14.58820,0.19694
0.250,0.150,12.87155,0.14931
0.250,0.200,10.83503,0.11919
0.250,0.250,8.60145,0.10064
0.250,0.300,7.16419,0.08167
0.250,0.400,4.75361,0.04041
0.250,0.500,3.20376,0.02979
0.250,0.600,2.07091,0.02195
0.250,0.700,1.27179,0.01590
0.250,0.800,0.69710,0.01101
0.250,0.900,0.39766,0.00799
0.250,1.000,0.21906,0.00561
0.250,1.100,0.12977,0.00413
0.250,1.200,0.07389,0.00304
0.250,1.300,0.04822,0.00249
0.250,1.400,0.02461,0.00165
0.250,1.500,0.01794,0.00170
0.250,1.700,0.00615,0.00065

0.300,0.050,11.79572,0.24299
0.300,0.100,11.23152,0.20329
0.300,0.150,9.31939,0.15657
0.300,0.200,7.53462,0.11829
0.300,0.250,6.47753,0.10040
0.300,0.300,5.14606,0.08079
0.300,0.400,3.51351,0.04076
0.300,0.500,2.36745,0.02959
0.300,0.600,1.68091,0.02320
0.300,0.700,1.00633,0.01640
0.300,0.800,0.60764,0.01203
0.300,0.900,0.30427,0.00803
0.300,1.000,0.18104,0.00592
0.300,1.100,0.11288,0.00449
0.300,1.200,0.05546,0.00303
0.300,1.300,0.04049,0.00251
0.300,1.400,0.02339,0.00185
0.300,1.500,0.01379,0.00068
0.300,1.700,0.00527,0.00041
0.300,1.900,0.00273,0.00028

0.350,0.050,7.69004,0.21148
0.350,0.100,6.81099,0.14371
0.350,0.150,5.97010,0.10866
0.350,0.200,5.16891,0.08632
0.350,0.250,4.35363,0.07053
0.350,0.300,3.65857,0.05890
0.350,0.400,2.59039,0.03057
0.350,0.500,1.81188,0.02319
0.350,0.600,1.31296,0.01812
0.350,0.700,0.86328,0.01364
0.350,0.800,0.49001,0.00960
0.350,0.900,0.28139,0.00695
0.350,1.000,0.15775,0.00495
0.350,1.100,0.08024,0.00334
0.350,1.200,0.04967,0.00253
0.350,1.300,0.02740,0.00185
0.350,1.400,0.01692,0.00140
0.350,1.500,0.01100,0.00077
0.350,1.700,0.00448,0.00047
0.350,1.900,0.00209,0.00037
0.350,2.100,0.00110,0.00027

0.450,0.050,3.72040,0.11831
0.450,0.100,3.73406,0.08327
0.450,0.150,3.26583,0.06336
0.450,0.200,2.81189,0.05118
