xF,pT,xsect,error
0.100,0.100,17.17452,0.15457
0.100,0.150,17.61542,0.13740
0.100,0.200,16.41348,0.11654
0.100,0.250,14.31558,0.09591
0.100,0.300,12.26872,0.08588
0.100,0.400,7.67353,0.03683
0.100,0.500,4.52404,0.02579
0.100,0.600,2.56412,0.01821
0.100,0.700,1.49189,0.01716
0.100,0.800,0.86731,0.01388
0.100,0.900,0.47178,0.01062
0.100,1.000,0.26427,0.00743
0.100,1.100,0.17354,0.00639
0.100,1.200,0.10473,0.00534
0.100,1.300,0.06062,0.00395
0.100,1.400,0.04202,0.00322
0.100,1.500,0.02007,0.00223
0.100,1.700,0.00868,0.00070
0.100,1.900,0.00254,0.00037
0.120,0.050,14.34557,0.18075
0.120,0.100,14.48909,0.15648
0.120,0.150,14.44955,0.13872
0.120,0.200,13.61649,0.11846
0.120,0.250,12.03086,0.09745
0.120,0.300,10.08214,0.07562
0.150,0.050,11.31204,0.13122
0.150,0.100,11.39996,0.11628
0.150,0.150,11.22971,0.09433
0.150,0.200,10.63034,0.08079
0.150,0.250,9.19466,0.06712
0.150,0.300,8.22573,0.05840
0.150,0.400,5.56747,0.02672
0.150,0.500,3.48487,0.01882
0.150,0.600,2.13265,0.01599
0.150,0.700,1.22500,0.01127
0.150,0.800,0.68619,0.00810
0.150,0.900,0.40091,0.00593
0.150,1.000,0.23443,0.00441
0.150,1.100,0.13864,0.00373
0.150,1.200,0.08030,0.00293
0.150,1.300,0.04987,0.00249
0.150,1.400,0.03201,0.00195
0.150,1.500,0.01964,0.00172
0.150,1.700,0.00885,0.00078
0.150,1.900,0.00255,0.00042
0.150,2.100,0.00071,0.00022
0.200,0.050,7.56407,0.11724
0.200,0.100,7.65169,0.10177
0.200,0.150,7.36710,0.08177
0.200,0.200,6.74337,0.06743
0.200,0.250,5.98587,0.05687
0.200,0.300,5.27941,0.04857
0.200,0.400,3.89158,0.02958
0.200,0.500,2.64595,0.02196
0.200,0.600,1.67045,0.01604
0.200,0.700,1.00986,0.01212
0.200,0.800,0.59021,0.00879
0.200,0.900,0.32760,0.00622
0.200,1.000,0.18148,0.00445
0.200,1.100,0.11545,0.00345
0.200,1.200,0.06795,0.00257
0.200,1.300,0.04005,0.00192
0.200,1.400,0.02247,0.00163
0.200,1.500,0.01312,0.00120
0.200,1.700,0.00488,0.00054
0.200,1.900,0.00197,0.00034
0.200,2.100,0.00101,0.00024
0.250,0.050,6.06430,0.14312
0.250,0.100,5.80164,0.11429
0.250,0.150,5.53948,0.09029
0.250,0.200,4.83853,0.07306
0.250,0.250,4.33385,0.06587
0.250,0.300,3.79504,0.05579
0.250,0.400,2.74076,0.02905
0.250,0.500,1.90814,0.02175
0.250,0.600,1.25823,0.01611
0.250,0.700,0.78798,0.01182
0.250,0.800,0.47363,0.00871
0.250,0.900,0.26991,0.00618
0.250,1.000,0.15899,0.00455
0.250,1.100,0.08804,0.00327
0.250,1.200,0.05137,0.00240
0.250,1.300,0.03319,0.00187
0.250,1.400,0.01859,0.00137
0.250,1.500,0.01370,0.00144
0.250,1.700,0.00466,0.00052
0.300,0.050,4.66876,0.15500
0.300,0.100,4.42886,0.13021
0.300,0.150,3.97060,0.09966
0.300,0.200,3.45258,0.07941
0.300,0.250,2.87231,0.06635
0.300,0.300,2.53840,0.05610
0.300,0.400,1.91437,0.03006
0.300,0.500,1.36610,0.02268
0.300,0.600,0.95800,0.01744
0.300,0.700,0.60024,0.01279
0.300,0.800,0.36355,0.00927
0.300,0.900,0.22649,0.00695
0.300,1.000,0.13294,0.00505
0.300,1.100,0.07787,0.00371
0.300,1.200,0.04208,0.00268
0.300,1.300,0.02470,0.00196
0.300,1.400,0.01361,0.00145
0.300,1.500,0.00879,0.00055
0.300,1.700,0.00338,0.00033
0.300,1.900,0.00114,0.00019
0.350,0.050,3.00725,0.13352
0.350,0.100,2.96359,0.09395
0.350,0.150,2.71234,0.07215
0.350,0.200,2.19127,0.05632
0.350,0.250,2.15152,0.04949
0.350,0.300,1.68870,0.04002
0.350,0.400,1.28647,0.02136
0.350,0.500,0.92704,0.01622
0.350,0.600,0.67602,0.01278
0.350,0.700,0.44103,0.00961
0.350,0.800,0.26480,0.00696
0.350,0.900,0.16505,0.00520
0.350,1.000,0.09707,0.00378
0.350,1.100,0.05529,0.00271
0.350,1.200,0.03320,0.00204
0.350,1.300,0.01866,0.00148
0.350,1.500,0.00676,0.00041
0.350,1.700,0.00276,0.00026
0.450,0.050,1.41838,0.07220
0.450,0.100,1.49403,0.05259
0.450,0.150,1.29985,0.03991
0.450,0.200,1.19100,0.03323
0.450,0.250,0.97808,0.02651
0.450,0.300,0.87461,0.01994
0.450,0.400,0.63726,0.01466
0.450,0.500,0.42859,0.01067
0.450,0.600,0.30481,0.00817
0.450,0.700,0.21080,0.00630
0.450,0.800,0.13524,0.00480
0.450,0.900,0.08401,0.00355
0.450,1.000,0.05236,0.00280
0.450,1.100,0.03148,0.00170
0.450,1.300,0.01030,0.00066
0.450,1.500,0.00439,0.00039
0.450,1.700,0.00127,0.00022
0.550,0.100,0.52817,0.03121
0.550,0.200,0.54990,0.02310
0.550,0.300,0.43155,0.01683
0.550,0.400,0.26739,0.01131
0.550,0.500,0.19373,0.00864
0.550,0.600,0.13339,0.00651
0.550,0.700,0.08207,0.00470
0.550,0.800,0.06266,0.00385
0.550,0.900,0.03449,0.00268
0.550,1.000,0.01852,0.00186
0.550,1.100,0.01263,0.00103
0.550,1.300,0.00463,0.00058
0.550,1.500,0.00104,0.00026
0.550,1.700,0.00052,0.00017
0.650,0.100,0.22104,0.01636
0.650,0.300,0.14881,0.00759
0.650,0.500,0.05816,0.00366
0.650,0.700,0.02824,0.00215
0.650,0.900,0.01424,0.00135
0.650,1.100,0.00517,0.00073
0.650,1.300,0.00161,0.00038
0.650,1.500,0.00048,0.00019
0.650,1.700,0.00014,0.00010
0.750,0.100,0.05877,0.00929
0.750,0.300,0.04089,0.00433
0.750,0.500,0.01991,0.00229
0.750,0.700,0.00742,0.00119
0.750,0.900,0.00250,0.00061
0.750,1.100,0.00185,0.00048
0.750,1.300,0.00074,0.00028
0.750,1.500,0.00019,0.00013
0.850,0.100,0.02594,0.00648
0.850,0.300,0.01111,0.00242
0.850,0.500,0.00421,0.00112
0.850,0.700,0.00236,0.00071
0.850,0.900,0.00116,0.00044
0.850,1.100,0.00014,0.00014
0.850,1.300,0.00012,0.00012
0.850,1.500,0.00000,0.00000
