xF,pT,xsect,error
0.000,0.050,59.19426,0.30781
0.000,0.100,54.40343,0.26114
0.000,0.150,46.73606,0.21966
0.000,0.200,37.84664,0.20059
0.000,0.250,29.00257,0.17112
0.000,0.300,22.01837,0.14972
0.000,0.400,12.27705,0.07489
0.000,0.500,6.67277,0.05338
0.000,0.600,3.49791,0.03848
0.000,0.700,2.01591,0.02903
0.000,0.800,1.09805,0.02141
0.000,0.900,0.64060,0.01608
0.000,1.000,0.34595,0.01166
0.000,1.100,0.20925,0.00647
0.000,1.200,0.12242,0.00449
0.000,1.300,0.07840,0.00364
0.000,1.400,0.04693,0.00277
0.000,1.500,0.02420,0.00202
0.000,1.700,0.01018,0.00064
0.000,1.900,0.00399,0.00041
0.000,2.100,0.00124,0.00034
0.010,0.050,55.35970,0.31555
0.010,0.100,52.20551,0.27147
0.010,0.150,45.73202,0.21951
0.010,0.200,36.90609,0.18822
0.010,0.250,28.74355,0.15809
0.010,0.300,22.25056,0.14908
0.010,0.400,12.04730,0.07469
0.010,0.500,6.37121,0.05288
0.010,0.600,3.54204,0.03932
0.010,0.700,1.95889,0.02880
0.010,0.800,1.08946,0.02135
0.010,0.900,0.61569,0.01595
0.010,1.000,0.37216,0.01277
0.020,0.050,49.58438,0.34213
0.020,0.100,47.68805,0.23367
0.020,0.150,41.85249,0.23856
0.020,0.200,34.64788,0.19056
0.020,0.250,26.68352,0.15743
0.020,0.300,20.62206,0.13817
0.020,0.400,11.63221,0.06398
0.020,0.500,6.29557,0.05288
0.020,0.600,3.50727,0.03928
0.020,0.700,1.89280,0.02858
0.020,0.800,1.10072,0.02135
0.020,0.900,0.62171,0.01598
0.020,1.000,0.34116,0.01170
0.025,1.100,0.21483,0.00782
0.025,1.200,0.11697,0.00574
0.025,1.300,0.06863,0.00445
0.025,1.400,0.04113,0.00338
0.025,1.500,0.02617,0.00276
0.030,0.050,41.35345,0.28947
0.030,0.100,41.32077,0.23553
0.030,0.150,37.77562,0.23799
0.030,0.200,31.95670,0.19813
0.030,0.250,25.40704,0.16769
0.030,0.300,19.51049,0.13657
0.030,0.400,10.75030,0.06343
0.030,0.500,5.94570,0.05411
0.030,0.600,3.26072,0.03913
0.030,0.700,1.85195,0.02871
0.030,0.800,1.04930,0.02130
0.030,0.900,0.56958,0.01595
0.030,1.000,0.33554,0.01168
0.040,0.050,35.71791,0.23931
0.040,0.100,35.94565,0.21208
0.040,0.150,34.21390,0.17449
0.040,0.200,29.25800,0.16677
0.040,0.250,23.56360,0.13667
0.040,0.300,18.26111,0.13696
0.050,0.050,30.51541,0.24717
0.050,0.100,31.55292,0.22403
0.050,0.150,30.42283,0.18558
0.050,0.200,26.45305,0.14549
0.050,0.250,21.70352,0.14758
0.050,0.300,16.86967,0.11640
0.050,0.400,10.04553,0.04520
0.050,0.500,5.69742,0.03589
0.050,0.600,3.14705,0.02549
0.050,0.700,1.70462,0.01807
0.050,0.800,0.98162,0.01384
0.050,0.900,0.56678,0.01179
0.050,1.000,0.31802,0.00852
0.050,1.100,0.19037,0.00638
0.050,1.200,0.11083,0.00501
0.050,1.300,0.05971,0.00361
0.050,1.400,0.03718,0.00288
0.050,1.500,0.02319,0.00222
0.050,1.700,0.00785,0.00064
0.050,1.900,0.00344,0.00042
0.050,2.100,0.00162,0.00029
0.060,0.050,26.75752,0.24884
0.060,0.100,27.52985,0.22299
0.060,0.150,27.50315,0.18702
0.060,0.200,24.02950,0.15619
0.060,0.250,19.90489,0.14730
0.060,0.300,15.97677,0.12622
0.070,0.050,23.79253,0.24982
0.070,0.100,24.75931,0.22531
0.070,0.150,24.46839,0.18841
0.070,0.200,22.16019,0.15734
0.070,0.250,18.51242,0.12774
0.070,0.300,14.91498,0.10590
0.075,0.400,8.85342,0.03453
0.075,0.500,5.06888,0.03396
0.075,0.600,2.84908,0.02450
0.075,0.700,1.61597,0.01923
0.075,0.800,0.93988,0.01391
0.075,0.900,0.52847,0.01068
0.075,1.000,0.30657,0.00855
0.075,1.100,0.18101,0.00639
0.075,1.200,0.09817,0.00528
0.075,1.300,0.05821,0.00372
0.075,1.400,0.03292,0.00277
0.075,1.500,0.02122,0.00223
0.080,0.050,21.27261,0.25314
0.080,0.100,21.38774,0.22671
0.080,0.150,21.65920,0.18844
0.080,0.200,20.30495,0.16041
0.080,0.250,17.27515,0.13820
0.080,0.300,13.88552,0.10692
0.100,0.050,17.41399,0.18111
