iter	Passed	Remaining
418	2445	9226
419	2449	9215
420	2454	9206
421	2459	9195
422	2464	9187
423	2472	9190
424	2476	9178
425	2482	9171
426	2486	9159
427	2491	9151
428	2496	9140
429	2500	9130
430	2505	9120
431	2510	9112
432	2515	9102
433	2519	9092
434	2524	9083
435	2529	9074
436	2535	9067
437	2539	9057
438	2544	9049
439	2549	9039
440	2554	9032
441	2559	9023
442	2564	9013
443	2570	9007
444	2574	8996
445	2579	8988
446	2584	8977
447	2588	8968
448	2594	8961
449	2599	8954
450	2605	8947
451	2610	8941
452	2616	8933
453	2622	8930
454	2627	8923
455	2633	8915
456	2638	8908
457	2643	8900
458	2648	8892
459	2653	8885
460	2658	8873
461	2662	8864
462	2667	8854
463	2672	8846
464	2676	8836
465	2680	8825
466	2685	8816
467	2690	8807
468	2696	8803
469	2701	8793
470	2705	8783
471	2710	8774
472	2715	8765
473	2719	8756
474	2725	8750
475	2730	8742
476	2735	8732
477	2739	8723
478	2745	8718
479	2750	8709
480	2754	8700
481	2761	8696
482	2766	8688
483	2771	8679
484	2775	8669
485	2780	8660
486	2784	8650
487	2789	8641
488	2794	8634
489	2798	8625
490	2803	8617
491	2808	8607
492	2814	8602
493	2818	8592
494	2823	8584
495	2829	8579
496	2833	8569
497	2839	8562
498	2844	8556
499	2849	8549
500	2854	8540
501	2858	8530
502	2863	8522
503	2868	8513
504	2872	8504
505	2877	8497
506	2882	8488
507	2893	8496
508	2898	8491
509	2903	8481
510	2919	8506
511	2923	8497
512	2928	8488
513	2933	8480
514	2968	8560
515	2982	8577
516	2994	8589
517	3010	8614
518	3015	8604
519	3021	8600
520	3039	8627
521	3044	8620
522	3052	8620
523	3068	8644
524	3073	8634
525	3077	8624
526	3081	8613
527	3086	8603
528	3092	8598
529	3130	8682
530	3153	8722
531	3172	8754
532	3199	8807
533	3204	8796
534	3208	8786
535	3212	8775
536	3217	8766
537	3222	8756
538	3226	8745
539	3230	8735
540	3235	8726
541	3240	8715
542	3244	8705
543	3249	8695
544	3252	8684
545	3257	8675
546	3262	8665
547	3267	8656
548	3271	8647
549	3276	8637
550	3280	8626
551	3285	8617
552	3290	8609
553	3294	8599
554	3298	8588
555	3303	8579
556	3307	8569
557	3311	8558
558	3317	8550
559	3321	8541
560	3326	8532
561	3330	8521
562	3334	8511
563	3339	8501
564	3343	8491
565	3348	8484
566	3354	8478
567	3359	8468
568	3363	8459
569	3367	8449
570	3373	8442
571	3378	8433
572	3382	8423
573	3386	8413
574	3390	8403
575	3394	8392
576	3399	8383
577	3403	8372
578	3407	8363
579	3412	8355
580	3417	8345
581	3421	8335
582	3426	8327
583	3430	8317
584	3435	8309
585	3439	8299
586	3444	8290
587	3448	8280
588	3452	8270
589	3458	8264
590	3462	8254
591	3467	8246
592	3472	8238
593	3477	8230
594	3481	8221
595	3486	8212
596	3492	8206
597	3496	8196
598	3500	8187
599	3524	8223
600	3528	8214
601	3533	8205
602	3537	8195
603	3563	8237
604	3597	8295
605	3608	8300
606	3612	8290
607	3619	8285
608	3626	8283
609	3630	8273
610	3637	8268
611	3641	8258
612	3645	8248
613	3649	8239
614	3660	8243
615	3664	8233
616	3668	8223
617	3673	8213
618	3677	8204
619	3681	8194
620	3691	8196
621	3698	8194
622	3718	8219
623	3722	8209
624	3729	8204
625	3733	8194
626	3749	8210
627	3753	8200
628	3757	8190
629	3762	8181
630	3766	8171
631	3772	8165
632	3777	8157
633	3781	8148
634	3786	8140
635	3791	8131
636	3795	8122
637	3800	8113
638	3806	8106
639	3811	8098
640	3817	8094
641	3822	8085
642	3827	8076
643	3831	8067
644	3836	8059
645	3840	8050
646	3845	8041
647	3850	8032
648	3854	8024
649	3859	8015
650	3864	8006
651	3868	7997
652	3872	7988
653	3876	7978
654	3880	7969
655	3885	7961
656	3889	7950
657	3892	7939
658	3896	7928
659	3900	7918
660	3904	7909
661	3908	7899
662	3912	7889
663	3916	7880
664	3925	7879
665	3929	7870
666	3933	7861
667	3937	7851
668	3941	7842
669	3945	7832
670	3950	7824
671	3954	7815
672	3959	7806
673	3963	7798
674	3968	7790
675	3973	7781
676	3977	7773
677	3982	7764
678	3986	7756
679	3991	7747
680	3995	7738
681	3999	7729
682	4005	7723
683	4010	7716
684	4014	7707
685	4020	7700
686	4025	7692
687	4029	7684
688	4035	7677
689	4039	7669
690	4044	7660
691	4048	7652
692	4053	7644
693	4058	7636
694	4062	7628
695	4066	7619
696	4071	7610
697	4075	7602
698	4079	7593
699	4085	7588
700	4090	7579
701	4094	7570
702	4099	7562
703	4114	7574
704	4118	7565
705	4123	7557
706	4130	7554
707	4135	7546
708	4139	7537
709	4143	7528
710	4147	7519
711	4151	7510
712	4156	7502
713	4169	7510
714	4182	7517
715	4189	7512
716	4195	7508
717	4217	7531
718	4224	7525
719	4228	7517
720	4232	7508
721	4236	7498
722	4240	7489
723	4252	7494
724	4267	7504
725	4271	7495
726	4275	7486
727	4280	7479
728	4295	7489
729	4304	7488
730	4312	7487
731	4319	7482
732	4345	7511
733	4352	7506
734	4356	7497
735	4364	7495
736	4370	7488
737	4374	7480
738	4380	7474
739	4385	7466
740	4389	7458
741	4393	7449
742	4398	7441
743	4403	7434
744	4407	7424
745	4411	7416
746	4416	7408
747	4421	7400
748	4425	7391
749	4429	7382
750	4433	7374
751	4438	7365
752	4442	7356
753	4446	7347
754	4451	7340
755	4455	7332
756	4460	7323
757	4464	7315
758	4469	7308
759	4473	7299
760	4478	7291
761	4483	7283
762	4487	7275
763	4492	7267
764	4496	7259
765	4501	7251
766	4505	7243
767	4509	7234
768	4514	7226
769	4519	7218
770	4523	7210
771	4528	7202
772	4532	7195
773	4538	7188
774	4543	7181
775	4548	7174
776	4552	7165
777	4555	7156
778	4570	7163
779	4574	7154
780	4578	7146
781	4592	7152
782	4596	7144
783	4610	7151
784	4614	7142
785	4618	7133
786	4628	7133
787	4633	7126
788	4638	7119
789	4643	7112
790	4648	7104
791	4653	7097
792	4657	7089
793	4662	7081
794	4667	7074
795	4672	7066
796	4676	7059
797	4681	7051
798	4686	7043
799	4691	7037
800	4702	7038
801	4707	7031
802	4712	7024
803	4715	7015
804	4720	7007
805	4725	6999
806	4729	6991
807	4733	6983
808	4738	6975
809	4742	6968
810	4748	6961
811	4753	6954
812	4758	6947
813	4763	6939
814	4767	6932
815	4772	6925
816	4777	6917
