iter	Logloss
0	0.6565098584
1	0.6207891761
2	0.5950896339
3	0.5720951657
4	0.5518862963
5	0.5340368998
6	0.511990849
7	0.4988721607
8	0.4807052188
9	0.4695930088
10	0.459103521
11	0.447681171
12	0.4371587496
13	0.4288701072
14	0.4196763463
15	0.4101789911
16	0.4011256894
17	0.3938394497
18	0.384846104
19	0.3770790913
20	0.3704884585
21	0.3639883545
22	0.3592192069
23	0.3485253446
24	0.3431098458
25	0.3367455793
26	0.3313240579
27	0.3247898392
28	0.3179742431
29	0.3138010805
30	0.3087793623
31	0.3053511736
32	0.3019753929
33	0.2987178901
34	0.2955461342
35	0.2928395682
36	0.2888829084
37	0.2854914397
38	0.2808624411
39	0.2774490807
40	0.2740232123
41	0.2708538685
42	0.2665831788
43	0.2637865099
44	0.2605828612
45	0.2574527911
46	0.2532543777
47	0.2508217503
48	0.2480883458
49	0.2455763298
50	0.241241917
51	0.2386532728
52	0.2368779079
53	0.2339132482
54	0.2312534907
55	0.2292084117
56	0.2273559014
57	0.2256719928
58	0.2238733583
59	0.2220412218
60	0.2203744986
61	0.2178742076
62	0.2157013664
63	0.2132619076
64	0.210674872
65	0.2081521857
66	0.2054661002
67	0.2034718157
68	0.2013835962
69	0.1995258223
70	0.1978577252
71	0.1962438143
72	0.1944772526
73	0.1933047189
74	0.1916756097
75	0.1903560785
76	0.1887062207
77	0.1866024998
78	0.1849822704
79	0.1842876855
80	0.1829191499
81	0.1817347636
82	0.1805525015
83	0.1794439009
84	0.1783591097
85	0.1771702461
86	0.1762952488
87	0.1749499342
88	0.1730648431
89	0.171916909
90	0.1705722447
91	0.1695277124
92	0.1684823441
93	0.1675656555
94	0.1660575114
95	0.1639270559
96	0.1629550668
97	0.1616650292
98	0.160025912
99	0.1589336615
100	0.1577794999
101	0.1560592924
102	0.1546828228
103	0.1535068788
104	0.1522032592
105	0.1513284778
106	0.1502408729
107	0.1496231386
108	0.1484700814
109	0.1476959942
110	0.1463207151
111	0.1450444848
112	0.1439721677
113	0.1434103273
